================ PROXY HEALTH REPORT ================
Generated : 2026-09-25T19:49:35Z
Alive     : 600
=====================================================

── ALIVE ──
18.60.247.31:44774 (http) | 5880ms | Unknown
202.154.17.18:8080 (http) | 5888ms | ID
180.191.232.48:5050 (http) | 5952ms | PH
36.95.245.7:8090 (http) | 5959ms | ID
195.142.250.46:8080 (http) | 5985ms | TR
49.156.44.115:8080 (http) | 6036ms | KH
190.104.26.227:33638 (socks4) | 6043ms | Unknown
190.97.239.24:999 (http) | 6051ms | VE
188.132.150.48:8080 (http) | 6057ms | SY
72.49.49.11:31034 (socks4) | 6087ms | US
103.158.127.17:57413 (http) | 6147ms | ID
103.4.145.132:1080 (socks4) | 6155ms | BD
103.67.85.150:3127 (http) | 6166ms | ID
163.223.78.87:3127 (http) | 6194ms | ID
113.192.3.107:8567 (http) | 6207ms | ID
175.106.15.186:8080 (http) | 6209ms | ID
5.255.117.250:1080 (socks5) | 6211ms | NL
202.1.24.114:8090 (http) | 6266ms | ID
187.94.16.59:39665 (http) | 6307ms | BR
103.187.226.52:8082 (http) | 6332ms | ID
190.121.239.195:999 (http) | 6379ms | VE
181.119.185.194:999 (http) | 6383ms | EC
195.226.213.254:8888 (http) | 6385ms | UA
103.146.38.121:8086 (http) | 6510ms | ID
80.72.180.122:1080 (socks5) | 6531ms | KG
160.19.18.121:8181 (http) | 6612ms | ID
163.223.172.29:1080 (http) | 6629ms | ID
188.164.218.209:8080 (http) | 6668ms | AL
24.152.58.22:999 (http) | 6728ms | CO
176.111.37.5:39811 (http) | 6782ms | SE
